winename,region,country,vintage,searchrank,rating_100,price
Domaine de la Romanee-Conti Montrachet Grand Cru,Cote de Beaune,France,1986,158,98,10152
Chateau Les Carmes Haut-Brion,Pessac-Leognan,France,2018,248,98,144
Domaine du Comte Liger-Belair La Romanee Grand Cru,Cote de Nuits,France,2012,257,98,6424
Coche-Dury Corton-Charlemagne Grand Cru,Cote de Beaune,France,2010,267,98,5890
E. Guigal Cote Rotie La Landonne,Rhone,France,2015,269,98,418
Tua Rita Redigaffi Toscana IGT,Tuscany,Italy,2000,322,98,658
Vietti Rocche di Castiglione,Barolo DOCG,Italy,2016,379,98,280
Quinta do Noval Nacional Vintage Port,NA,Portugal,2011,404,98,1817
Quinta do Noval Nacional Vintage Port,NA,Portugal,1963,404,98,4941
Clarendon Hills Astralis Shiraz,McLaren Vale,Australia,2000,420,98,207
Don Julio 1942 Tequila Anejo,Jalisco,Mexico,NA,453,98,156
Weingut Keller G-Max Riesling Trocken,Rheinhessen,Germany,2015,457,98,2283
Weingut Keller G-Max Riesling Trocken,Rheinhessen,Germany,2004,457,98,5374
Domaine du Pegau Chateauneuf-du-Pape Cuvee da Capo,Rhone,France,2016,463,98,364
Domaine Leroy Richebourg Grand Cru,Cote de Nuits,France,1993,483,98,NA
Henri Bonneau Chateauneuf-du-Pape Reserve des Celestins,Rhone,France,1990,548,98,2899
Henri Jayer Cros Parantoux,Vosne-Romanee Premier Cru,France,2001,553,98,16384
Bollinger Vieilles Vignes Francaises Blanc de Noirs,Champagne,France,1996,591,98,1606
Domaine des Comtes Lafon Montrachet Grand Cru,Cote de Beaune,France,2014,650,98,2175
Domaine Jean Grivot Richebourg Grand Cru,Cote de Nuits,France,2010,687,98,1750
Domaine Jean Grivot Richebourg Grand Cru,Cote de Nuits,France,2005,687,98,2431
Domaine Jacques-Frederic Mugnier Les Amoureuses,Chambolle-Musigny Premier Cru,France,2015,763,98,1889
Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2012,839,98,706
Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2008,839,98,850
Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2007,839,98,963
Bond Vecina Napa Valley,NA,USA,2013,875,98,642
Domaine Bruno Clair Chambertin-Clos de Beze Grand Cru,Cote de Nuits,France,2018,906,98,265
Henri Jayer Echezeaux Grand Cru,Cote de Nuits,France,1990,929,98,10291
Domaine Hubert Lignier Clos de la Roche Grand Cru,Cote de Nuits,France,2015,974,98,524
Bond St Eden,Napa Valley,USA,2013,1199,98,680
Tusk Estate Cabernet Sauvignon,Napa Valley,USA,2015,1201,98,845
Tusk Estate Cabernet Sauvignon,Napa Valley,USA,2013,1201,98,942
Tusk Estate Cabernet Sauvignon,Napa Valley,USA,2009,1201,98,717
Clos Saint-Jean Deus-Ex Machina Chateauneuf-du-Pape,Rhone,France,2010,1210,98,313
Torbreck The Laird,Barossa Valley,Australia,2008,1323,98,709
Old Rip Van Winkle 'Pappy Van Winkle's Family Reserve' 13 Year Old Kentucky Straight Rye Whiskey,NA,USA,NA,1336,98,2025
Maybach Family Vineyards Materium Cabernet Sauvignon,Oakville,USA,2014,1429,98,426
Maybach Family Vineyards Materium Cabernet Sauvignon,Oakville,USA,2013,1429,98,440
Vine Hill Ranch 'VHR' Cabernet Sauvignon,Napa Valley,USA,2016,1482,98,261
Schrader Cellars CCS Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2007,1621,98,1318
Domaine Leroy Corton-Charlemagne Grand Cru,Cote de Beaune,France,2001,1648,98,3902
Sine Qua Non Cumulus Vineyard 'Next of Kyn',Central Coast,USA,2012,1780,98,503
Bodegas Toro Albala Don PX Convento Seleccion,Montilla-Moriles,Spain,1946,1882,98,278
W & J Graham's 'The Stone Terraces' Vintage Port,NA,Portugal,2017,1894,98,253
Realm Cellars The Absurd Proprietary Red,Napa Valley,USA,2016,1942,98,753
Realm Cellars The Absurd Proprietary Red,Napa Valley,USA,2012,1942,98,610
Domaine La Barroche Chateauneuf-du-Pape Pure,Rhone,France,2016,1976,98,152
Realm Cellars Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon,St. Helena,USA,2016,2051,98,559
Realm Cellars Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon,St. Helena,USA,2015,2051,98,549
Realm Cellars Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon,St. Helena,USA,2014,2051,98,453
Realm Cellars Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon,St. Helena,USA,2012,2051,98,498
Peter Michael 'Point Rouge' Chardonnay,Sonoma County,USA,2012,2120,98,473
Colgin Cellars Tychson Hill Vineyard Cabernet Sauvignon,Napa Valley,USA,2007,2263,98,406
Kapcsandy Family Winery State Lane Vineyard Roberta's Reserve,Napa Valley,USA,2013,2410,98,536
Hundred Acre 'Few and Far Between' Cabernet Sauvignon,Napa Valley,USA,2013,2442,98,703
Hundred Acre 'Few and Far Between' Cabernet Sauvignon,Napa Valley,USA,2012,2442,98,662
Bruno Giacosa Collina Rionda,Barolo DOCG,Italy,1989,2857,98,4271
Michel & Stephane Ogier Cote Rotie La Belle Helene,Rhone,France,1999,2890,98,747
Henriot Cuvee des Enchanteleurs Brut,Champagne,France,1964,2904,98,1474
Domaine Pierre Usseglio et Fils Chateauneuf-du-Pape Reserve des Deux Freres,Rhone,France,2016,3997,98,174
Sine Qua Non The Gorgeous Victim,California,USA,2017,4198,98,334
Weingut Keller Niersteiner Pettenthal Riesling Grosses Gewachs,Rheinhessen,Germany,2017,4232,98,1148
Carter Cellars Beckstoffer To Kalon Vineyard The O.G. Cabernet Sauvignon,Napa Valley,USA,2016,4611,98,604
Christopher Tynan Wines Meleagris Gallopavo Vineyard Cabernet Sauvignon,Napa Valley,USA,2014,6663,98,453
Quilceda Creek Galitzine Vineyard Cabernet Sauvignon,Red Mountain,USA,2014,6715,98,252
Odette Estate Reserve Cabernet Sauvignon,Stags Leap District,USA,2012,7084,98,566
Weingut Donnhoff Oberhauser Brucke Riesling Eiswein,Nahe,Germany,2009,7911,98,424
Weingut Donnhoff Oberhauser Brucke Riesling Eiswein,Nahe,Germany,2002,7911,98,980
Hundred Acre 'Precious' Cabernet Sauvignon,Napa Valley,USA,2010,8396,98,538
Hundred Acre 'Precious' Cabernet Sauvignon,Napa Valley,USA,2007,8396,98,637
Gialdi Merlot Sassi Grossi,Ticino,Switzerland,2014,8707,98,62
Cliff Lede Vineyards Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2016,8744,98,296
Cliff Lede Vineyards Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2015,8744,98,313
Sine Qua Non Stockholm Syndrome Eleven Confession Vineyard Syrah,Central Coast,USA,2010,9940,98,1053
Russian River Brewing Company 'Pliny the Elder' Double IPA Beer,California,USA,NA,10997,98,9
Markus Molitor Zeltinger Sonnenuhr Riesling Trockenbeerenauslese,Mosel,Germany,2010,11591,98,853
Fairchild Estate Stones No. 1,Napa Valley,USA,2015,12235,98,500
Sine Qua Non Touche Syrah,California,USA,2012,12654,98,675
Philippe Foreau Domaine du Clos Naudin Vouvray Moelleux 'Goutte d'Or',Loire,France,2011,12737,98,252
Domaine de la Mordoree Chateauneuf-du-Pape La Plume du Peintre,Rhone,France,2005,14108,98,582
Paul Hobbs Cuvee Agustina Richard Dinner Vineyard Chardonnay,Sonoma Mountain,USA,2015,14304,98,72
Domaine Roulot L'Abricot du Roulot - Apricot Liqueur,NA,France,NA,15335,98,88
Purlieu Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2016,17098,98,229
Bruno Giacosa Vigneto Montefico,Barbaresco DOCG,Italy,1971,42040,98,627
Massandra Ai-Danil,NA,Crimea,1931,74313,98,875
Forstmeister Geltz-Zilliken Saarburger Rausch Riesling Beerenauslese,Mosel,Germany,2005,97163,98,295
Quinta do Mourao 'S. Leonardo' 60 Year Old Tawny Port,NA,Portugal,NA,120688,98,727
Chateau Mouton Rothschild,Pauillac,France,2017,2,97,521
Chateau Mouton Rothschild,Pauillac,France,2010,2,97,1125
Chateau Mouton Rothschild,Pauillac,France,2009,2,97,1083
Chateau Mouton Rothschild,Pauillac,France,1982,2,97,1618
Chateau Mouton Rothschild,Pauillac,France,1949,2,97,4424
Chateau Mouton Rothschild,Pauillac,France,1945,2,97,16929
Chateau Lafite Rothschild,Pauillac,France,2016,3,97,825
Chateau Lafite Rothschild,Pauillac,France,2010,3,97,1234
Chateau Lafite Rothschild,Pauillac,France,2009,3,97,1201
Chateau Margaux,Margaux,France,2016,4,97,761
Chateau Margaux,Margaux,France,2010,4,97,1117
Chateau Margaux,Margaux,France,2005,4,97,1044
Chateau Margaux,Margaux,France,2000,4,97,1189
Chateau Margaux,Margaux,France,1990,4,97,1324
Petrus,Pomerol,France,2012,5,97,3022
Petrus,Pomerol,France,2010,5,97,4191
Petrus,Pomerol,France,2009,5,97,4100
Petrus,Pomerol,France,2008,5,97,3043
Petrus,Pomerol,France,2000,5,97,5346
Petrus,Pomerol,France,1998,5,97,3891
Petrus,Pomerol,France,1990,5,97,5140
Petrus,Pomerol,France,1955,5,97,3272
Petrus,Pomerol,France,1953,5,97,3913
Chateau Latour,Pauillac,France,2005,6,97,1085
Chateau Latour,Pauillac,France,2003,6,97,1022
Chateau Latour,Pauillac,France,1982,6,97,2330
Chateau Latour,Pauillac,France,1961,6,97,4594
Chateau Haut-Brion,Pessac-Leognan,France,2009,9,97,1015
Chateau Haut-Brion,Pessac-Leognan,France,1959,9,97,2476
Domaine de la Romanee-Conti Romanee-Conti Grand Cru,Cote de Nuits,France,2016,10,97,21312
Domaine de la Romanee-Conti Romanee-Conti Grand Cru,Cote de Nuits,France,2015,10,97,22981
Domaine de la Romanee-Conti Romanee-Conti Grand Cru,Cote de Nuits,France,2014,10,97,18312
Domaine de la Romanee-Conti Romanee-Conti Grand Cru,Cote de Nuits,France,2009,10,97,21161
Domaine de la Romanee-Conti Romanee-Conti Grand Cru,Cote de Nuits,France,2001,10,97,20403
Domaine de la Romanee-Conti Romanee-Conti Grand Cru,Cote de Nuits,France,2000,10,97,20987
Domaine de la Romanee-Conti Romanee-Conti Grand Cru,Cote de Nuits,France,1959,10,97,20402
Chateau d'Yquem,Sauternes,France,2013,12,97,371
Chateau d'Yquem,Sauternes,France,1975,12,97,1007
Chateau d'Yquem,Sauternes,France,1967,12,97,1645
Chateau d'Yquem,Sauternes,France,1948,12,97,2564
Chateau Cheval Blanc,Saint-Emilion Grand Cru,France,2018,15,97,739
Chateau Cheval Blanc,Saint-Emilion Grand Cru,France,2010,15,97,1216
Chateau Cheval Blanc,Saint-Emilion Grand Cru,France,2009,15,97,1251
Chateau Cheval Blanc,Saint-Emilion Grand Cru,France,2000,15,97,1044
Chateau Cheval Blanc,Saint-Emilion Grand Cru,France,1990,15,97,1279
Chateau Cheval Blanc,Saint-Emilion Grand Cru,France,1947,15,97,10824
Domaine de la Romanee-Conti La Tache Grand Cru Monopole,Cote de Nuits,France,2016,18,97,5176
Domaine de la Romanee-Conti La Tache Grand Cru Monopole,Cote de Nuits,France,2015,18,97,5887
Domaine de la Romanee-Conti La Tache Grand Cru Monopole,Cote de Nuits,France,2012,18,97,4307
Domaine de la Romanee-Conti La Tache Grand Cru Monopole,Cote de Nuits,France,2009,18,97,5418
Domaine de la Romanee-Conti La Tache Grand Cru Monopole,Cote de Nuits,France,2008,18,97,4399
Domaine de la Romanee-Conti La Tache Grand Cru Monopole,Cote de Nuits,France,1990,18,97,7316
Chateau Cos d'Estournel,Saint-Estephe,France,2018,19,97,203
Chateau Cos d'Estournel,Saint-Estephe,France,2016,19,97,242
Penfolds Grange Bin 95,NA,Australia,2010,20,97,633
Penfolds Grange Bin 95,NA,Australia,1962,20,97,3050
Chateau Montrose,Saint-Estephe,France,1990,21,97,684
Chateau Pichon Longueville Comtesse de Lalande,Pauillac,France,2018,23,97,193
Chateau Palmer,Margaux,France,2015,24,97,388
Chateau Palmer,Margaux,France,1928,24,97,496
Chateau La Mission Haut-Brion,Pessac-Leognan,France,2016,27,97,546
Chateau La Mission Haut-Brion,Pessac-Leognan,France,2005,27,97,625
Chateau La Mission Haut-Brion,Pessac-Leognan,France,1989,27,97,1539
Chateau La Mission Haut-Brion,Pessac-Leognan,France,1955,27,97,2951
Chateau La Mission Haut-Brion,Pessac-Leognan,France,1949,27,97,3629
Chateau La Mission Haut-Brion,Pessac-Leognan,France,1945,27,97,5301
Chateau Ducru-Beaucaillou,Saint-Julien,France,2016,29,97,257
Chateau Pichon-Longueville au Baron de Pichon-Longueville,Pauillac,France,2018,30,97,164
Chateau Angelus,Saint-Emilion Grand Cru,France,2015,33,97,398
Chateau Angelus,Saint-Emilion Grand Cru,France,1961,33,97,770
Masseto Toscana IGT,Tuscany,Italy,2010,35,97,878
Screaming Eagle Cabernet Sauvignon,Napa Valley,USA,2013,47,97,3416
Screaming Eagle Cabernet Sauvignon,Napa Valley,USA,2012,47,97,3748
Screaming Eagle Cabernet Sauvignon,Napa Valley,USA,2010,47,97,3860
Screaming Eagle Cabernet Sauvignon,Napa Valley,USA,2005,47,97,4019
Krug Vintage Brut,Champagne,France,1966,50,97,1154
Vega Sicilia Unico Gran Reserva,Ribera del Duero,Spain,1968,51,97,1911
Vega Sicilia Unico Gran Reserva,Ribera del Duero,Spain,1961,51,97,730
Vega Sicilia Unico Gran Reserva,Ribera del Duero,Spain,1959,51,97,804
Marchesi Antinori Solaia Toscana IGT,Tuscany,Italy,2015,54,97,368
Salon Cuvee 'S' Le Mesnil Blanc de Blancs Brut,Champagne,France,1971,56,97,4039
Harlan Estate,Napa Valley,USA,2002,60,97,1468
Harlan Estate,Napa Valley,USA,2001,60,97,1279
Harlan Estate,Napa Valley,USA,1994,60,97,1372
Domaine de la Romanee-Conti Romanee-Saint-Vivant Grand Cru,Cote de Nuits,France,2010,62,97,2748
Domaine de la Romanee-Conti Romanee-Saint-Vivant Grand Cru,Cote de Nuits,France,1982,62,97,1999
Vieux Chateau Certan,Pomerol,France,2016,63,97,363
Vieux Chateau Certan,Pomerol,France,2015,63,97,334
Vieux Chateau Certan,Pomerol,France,2009,63,97,321
Domaine de la Romanee-Conti Richebourg Grand Cru,Cote de Nuits,France,2015,72,97,3960
Chateau Lafleur,Pomerol,France,2010,79,97,1635
Chateau Lafleur,Pomerol,France,2009,79,97,1512
Chateau Lafleur,Pomerol,France,2005,79,97,1889
Chateau Lafleur,Pomerol,France,1982,79,97,5511
Domaine de la Romanee-Conti Echezeaux Grand Cru,Cote de Nuits,France,1964,82,97,1471
Chateau Ausone,Saint-Emilion Grand Cru,France,2008,84,97,723
Chateau Ausone,Saint-Emilion Grand Cru,France,2003,84,97,1125
Chateau Ausone,Saint-Emilion Grand Cru,France,2000,84,97,1512
Le Pin,Pomerol,France,2004,91,97,2887
Domaine Comte Georges de Vogue Musigny Grand Cru 'Cuvee Vieilles Vignes',Cote de Nuits,France,1971,111,97,2938
Domaine Comte Georges de Vogue Musigny Grand Cru 'Cuvee Vieilles Vignes',Cote de Nuits,France,1947,111,97,3770
Shafer Vineyards Hillside Select Cabernet Sauvignon,Stags Leap District,USA,2002,115,97,527
Chateau Trotanoy,Pomerol,France,2018,144,97,318
Chateau Trotanoy,Pomerol,France,2016,144,97,327
Chateau L'Eglise-Clinet,Pomerol,France,2010,154,97,428
Chateau L'Eglise-Clinet,Pomerol,France,2009,154,97,464
Chateau L'Eglise-Clinet,Pomerol,France,2005,154,97,532
Krug Clos du Mesnil Blanc de Blancs Brut,Champagne,France,2002,157,97,1271
Krug Clos du Mesnil Blanc de Blancs Brut,Champagne,France,1985,157,97,2283
Domaine de la Romanee-Conti Montrachet Grand Cru,Cote de Beaune,France,2010,158,97,8817
Domaine de la Romanee-Conti Montrachet Grand Cru,Cote de Beaune,France,2008,158,97,8185
Domaine de la Romanee-Conti Montrachet Grand Cru,Cote de Beaune,France,2005,158,97,9111
Domaine de la Romanee-Conti Montrachet Grand Cru,Cote de Beaune,France,2001,158,97,7259
Chateau Pavie Macquin,Saint-Emilion Grand Cru,France,2018,168,97,79
Dominio de Pingus 'Pingus',Ribera del Duero,Spain,2009,170,97,842
Scarecrow Cabernet Sauvignon,Rutherford,USA,2014,189,97,872
Scarecrow Cabernet Sauvignon,Rutherford,USA,2013,189,97,907
Scarecrow Cabernet Sauvignon,Rutherford,USA,2012,189,97,686
Scarecrow Cabernet Sauvignon,Rutherford,USA,2007,189,97,1056
Domaine Armand Rousseau Pere et Fils Chambertin Clos-de-Beze Grand Cru,Cote de Nuits,France,2010,191,97,4518
Domaine Leroy Musigny Grand Cru,Cote de Nuits,France,1992,222,97,16773
Louis Roederer Cristal Brut Rose Millesime,Champagne,France,1996,226,97,1070
Case Basse di Gianfranco Soldera Toscana IGT - Brunello di Montalcino DOCG,Tuscany,Italy,2013,235,97,549
La Rioja Alta S.A. Vina Ardanza Reserva,Rioja DOCa,Spain,1964,236,97,216
Dom Perignon P3 Plenitude Brut,Champagne,France,1985,237,97,2248
Dom Perignon P3 Plenitude Brut,Champagne,France,1969,237,97,3999
Henschke Hill of Grace Shiraz,Eden Valley,Australia,2006,238,97,782
E. Guigal Cote Rotie La Mouline,Rhone,France,2015,245,97,405
E. Guigal Cote Rotie La Mouline,Rhone,France,1999,245,97,738
E. Guigal Cote Rotie La Mouline,Rhone,France,1991,245,97,798
E. Guigal Cote Rotie La Mouline,Rhone,France,1990,245,97,914
E. Guigal Cote Rotie La Mouline,Rhone,France,1988,245,97,931
E. Guigal Cote Rotie La Mouline,Rhone,France,1985,245,97,2519
E. Guigal Cote Rotie La Mouline,Rhone,France,1983,245,97,853
Chateau Le Tertre-Roteboeuf,Saint-Emilion Grand Cru,France,2016,254,97,237
Chateau Le Tertre-Roteboeuf,Saint-Emilion Grand Cru,France,2010,254,97,263
Dom Perignon Oenotheque Brut Millesime,Champagne,France,1969,255,97,2430
Coche-Dury Corton-Charlemagne Grand Cru,Cote de Beaune,France,2008,267,97,5164
Coche-Dury Corton-Charlemagne Grand Cru,Cote de Beaune,France,2005,267,97,5832
Coche-Dury Corton-Charlemagne Grand Cru,Cote de Beaune,France,2000,267,97,5138
Coche-Dury Corton-Charlemagne Grand Cru,Cote de Beaune,France,1999,267,97,5918
Coche-Dury Corton-Charlemagne Grand Cru,Cote de Beaune,France,1995,267,97,5423
E. Guigal Cote Rotie La Landonne,Rhone,France,2003,269,97,663
E. Guigal Cote Rotie La Landonne,Rhone,France,1999,269,97,659
E. Guigal Cote Rotie La Landonne,Rhone,France,1998,269,97,532
Spottswoode Family Estate Grown Cabernet Sauvignon,St. Helena,USA,2016,271,97,238
E. Guigal Cote Rotie La Turque,Rhone,France,2015,297,97,413
E. Guigal Cote Rotie La Turque,Rhone,France,1999,297,97,688
E. Guigal Cote Rotie La Turque,Rhone,France,1988,297,97,872
E. Guigal Cote Rotie La Turque,Rhone,France,1985,297,97,1721
Duffau-Lagarrosse Chateau Beausejour,Saint-Emilion Grand Cru,France,2016,298,97,144
Duffau-Lagarrosse Chateau Beausejour,Saint-Emilion Grand Cru,France,1990,298,97,1002
Heitz Cellar Martha's Vineyard Cabernet Sauvignon,Napa Valley,USA,1968,299,97,1319
Chateau de Beaucastel Chateauneuf-du-Pape Grand Cuvee Hommage a Jacques Perrin,Rhone,France,2010,315,97,453
Chateau de Beaucastel Chateauneuf-du-Pape Grand Cuvee Hommage a Jacques Perrin,Rhone,France,2007,315,97,548
Chateau de Beaucastel Chateauneuf-du-Pape Grand Cuvee Hommage a Jacques Perrin,Rhone,France,1990,315,97,994
Chateau de Beaucastel Chateauneuf-du-Pape Grand Cuvee Hommage a Jacques Perrin,Rhone,France,1989,315,97,1040
Chateau Haut-Brion Blanc,Pessac-Leognan,France,2013,335,97,972
Chateau Haut-Brion Blanc,Pessac-Leognan,France,2010,335,97,1115
Chateau Haut-Brion Blanc,Pessac-Leognan,France,2009,335,97,1161
Sylvain Cathiard Aux Malconsorts,Vosne-Romanee Premier Cru,France,2017,372,97,770
Quinta do Noval Vintage Port,NA,Portugal,2017,375,97,106
Colgin Cellars IX Estate Red,Napa Valley,USA,2010,376,97,494
Colgin Cellars IX Estate Red,Napa Valley,USA,2002,376,97,655
Domaine Ramonet Montrachet Grand Cru,Cote de Beaune,France,2010,382,97,3194
Domaine Ramonet Montrachet Grand Cru,Cote de Beaune,France,2009,382,97,2245
Domaine Ramonet Montrachet Grand Cru,Cote de Beaune,France,1988,382,97,5198
Domaine Leroy Chambertin Grand Cru,Cote de Nuits,France,2000,396,97,15728
Quinta do Noval Nacional Vintage Port,NA,Portugal,2000,404,97,1196
Quinta do Noval Nacional Vintage Port,NA,Portugal,1997,404,97,1708
Chateau Latour a Pomerol,Pomerol,France,1961,415,97,6072
Emmanuel Rouget Cros Parantoux,Vosne-Romanee Premier Cru,France,2009,440,97,2252
Weingut Keller G-Max Riesling Trocken,Rheinhessen,Germany,2017,457,97,2108
Weingut Keller G-Max Riesling Trocken,Rheinhessen,Germany,2010,457,97,2395
Domaine du Pegau Chateauneuf-du-Pape Cuvee da Capo,Rhone,France,2003,463,97,663
Domaine Leroy Richebourg Grand Cru,Cote de Nuits,France,2007,483,97,5104
Gaja Sori Tildin Langhe-Barbaresco,Piedmont,Italy,2013,505,97,422
